table_name,column_name,data_type,primary_key,foreign_key,description
dim_store,store_id,int64,True,,
dim_store,rooftop_id,int64,False,,
dim_store,store_name,object,False,,
dim_store,brand,object,False,,
dim_store,oem_code,object,False,,OEM/store code used with the manufacturer
dim_store,address,object,False,,
dim_store,city,object,False,,
dim_store,state,object,False,,
dim_store,zip,object,False,,
dim_store,timezone,object,False,,
dim_employee,employee_id,int64,True,,
dim_employee,first_name,object,False,,
dim_employee,last_name,object,False,,
dim_employee,role,object,False,,
dim_employee,department,object,False,,
dim_employee,store_id,int64,False,dim_store.store_id,
dim_employee,hire_date,object,False,,
dim_employee,termination_date,object,False,,
dim_employee,active_flag,bool,False,,
dim_lender,lender_id,int64,True,,
dim_lender,lender_name,object,False,,
dim_lender,type,object,False,,
dim_lender,tier_program,object,False,,
dim_vendor,vendor_id,int64,True,,
dim_vendor,vendor_name,object,False,,
dim_vendor,channel,object,False,,
dim_vendor,category,object,False,,
dim_vendor,cost_model,object,False,,
dim_product,product_id,int64,True,,
dim_product,product_name,object,False,,
dim_product,product_type,object,False,,
dim_oem_program,program_id,int64,True,,
dim_oem_program,oem,object,False,,
dim_oem_program,program_name,object,False,,
dim_oem_program,month,object,False,,
dim_oem_program,target_units,int64,False,,
dim_oem_program,start_date,object,False,,
dim_oem_program,end_date,object,False,,
dim_customer,customer_id,int64,True,,
dim_customer,first_name,object,False,,
dim_customer,last_name,object,False,,
dim_customer,email,object,False,,
dim_customer,phone,object,False,,
dim_customer,address,object,False,,
dim_customer,city,object,False,,
dim_customer,state,object,False,,
dim_customer,zip,object,False,,
dim_customer,dl_masked,object,False,,
dim_customer,credit_score_band,object,False,,
dim_customer,contact_opt_in_sms,bool,False,,
dim_customer,contact_opt_in_email,bool,False,,
dim_vehicle,vehicle_id,int64,True,,
dim_vehicle,vin,object,False,,
dim_vehicle,stock_no,object,False,,
dim_vehicle,year,int64,False,,
dim_vehicle,make,object,False,,
dim_vehicle,model,object,False,,
dim_vehicle,trim,object,False,,
dim_vehicle,body_style,object,False,,
dim_vehicle,drivetrain,object,False,,
dim_vehicle,engine,object,False,,
dim_vehicle,transmission,object,False,,
dim_vehicle,exterior_color,object,False,,
dim_vehicle,interior_color,object,False,,
dim_vehicle,msrp,float64,False,,
dim_vehicle,invoice,float64,False,,
dim_vehicle,vehicle_cost,float64,False,,
dim_vehicle,used_flag,bool,False,,
dim_vehicle,certified_flag,bool,False,,
dim_date,date_key,int64,True,,YYYYMMDD as integer
dim_date,date,object,False,,
dim_date,day_of_week,object,False,,
dim_date,month,int64,False,,
dim_date,quarter,int64,False,,
dim_date,year,int64,False,,
dim_date,is_weekend,bool,False,,
dim_date,is_month_end,bool,False,,
fact_leads,lead_id,int64,True,,
fact_leads,store_id,int64,False,dim_store.store_id,
fact_leads,customer_id,int64,False,dim_customer.customer_id,
fact_leads,vehicle_id,int64,False,dim_vehicle.vehicle_id,
fact_leads,vendor_id,int64,False,dim_vendor.vendor_id,
fact_leads,campaign_name,object,False,,
fact_leads,utm_source,object,False,,
fact_leads,utm_medium,object,False,,
fact_leads,utm_campaign,object,False,,
fact_leads,lead_created_ts,object,False,,
fact_leads,lead_status,object,False,,
fact_leads,assigned_to_employee_id,int64,False,dim_employee.employee_id,
fact_leads,last_contact_ts,object,False,,
fact_leads,first_response_seconds,float64,False,,
fact_bdc_interactions,interaction_id,int64,True,,
